,title,description,video_id,epilepsy_mentioned
149,Zelda - Song of Storms (Deon Custom Remix) [Bass Boosted],Zelda - Song of Storms (Deon Custom Remix) [Bass Boosted]  ♫ ⚠️WARNING⚠   ❗️THIS HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY ...,CwTkWeBigdM,True
150,NEGI - Cannibal,UYARI: Bu video ışığa duyarlı epilepsi geçmişi olan kişiler için sakıncalı görüntüler içermektedir. WARNING: This video has been identified by Epilepsy Action to ...,FeQsuMQTpCg,True
151,BEATSMASH - Árēs [Bass Boosted],BEATSMASH - Árēs [BASS BOOSTED] | HQ BASS | USE HEADPHONES FOR BETTER EXPERIENCE. WARNING!!!! This video has been identified by epilepsy ...,UvuHvX7XZGY,True
152,Adele - Rolling in the Deep (M-Dope Remix) (Bass Boosted),Open Before Watching This Video Song:Adele - Rolling in the Deep (M-Dope Remix) WARNING! This Video Been Identified By Epilepsy Action To Potentially ...,g8lOG6PGgPM,True
153,TULE- Fearless feat.Chris Linton,️WARNING⚠   THIS VIDEO HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR PEOPLE WITH PHOTOSENSITIVE...,MsqC5OeDtc8,True
154,SOUNDING - GONZO AT THE BOHEMIAN GROVE (Official Music Video),WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. VIEWER DISCRETION IS ...,SDnyJ-0Vgg0,True
155,Test your speakers with (TRAP TOKYO),This video has been identified by epilepsy action to potentially trigger seizures for people with photosensitive epilepsy.,aifJJ1rsZ4E,True
156,Grizm - Can't Stop It Now (Official Video),WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. Viewer discretion is advised.,JOEaN3ufE5Q,True
157,SOUNDING - JESUS JUNKIES (Official Music Video),WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. VIEWER DISCRETION IS ...,IoA6i5yRPOk,True
158,"I Like To Move It, Move It (YK Jersey Club Remix) [Bass Boosted]","Now playing: I Like To Move It, Move It (YK Jersey Club Remix) [Bass Boosted] Thanks for watching. Show more (epilepsy warning, credits and copyright).",N7rv_c61zO0,True
159,KAISHEN - Glow [Bass Boosted],KAISHEN - Glow (BASS BOOSTED) USE HEADPHONES FOR BETTER EXPERIENCE. WARNING!!!! This video has been identified by epilepsy action to ...,ac4gsUDHohk,True
160,Ginuwine - Pony (Extended Mix) [Bass Boosted],"Now playing: Ginuwine - Pony (Extended Mix) [Bass Boosted] Thanks for watching Show more (epilepsy warning, credits and copyright).",aKHdPqknUYQ,True
161,U Name It Challenge (Jersey Club Remix) [Bass Boosted] @DJTAJ @DJFLEX,"Now playing: U Name It Challenge (Jersey Club Remix) [Bass Boosted] @DJTAJ @DJFLEX Thanks for watching. Show more (epilepsy warning, credits and ...",IFixa3Pq3uo,True
162,BOOL-IT BABES feat. GTZ // J.COLE x G.O.M.D,WARNING : This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. Viewer discretion is ...,JaP8vs9fvAs,True
163,Rune - Always True [Bass Boosted],Rune - Always True (BASS BOOSTED) USE HEADPHONES FOR BETTER EXPERIENCE. WARNING!!!! This video has been identified by epilepsy action to ...,ebkERRCtah4,True
164,Seether - Careless Whisper (DJSNT Rebass) [Bass Boosted],Now playing: Seether - Careless Whisper (DJSNT Rebass) [Bass Boosted] Request a song: https://goo.gl/forms/LsCcC4C1Qr0AkEbv1 Show more (epilepsy ...,RQbVMiKZt-w,True
165,Desiigner - Timmy Turner [Bass Boosted],"Now playing: Desiigner - Tiimmy Turner [Bass Boosted] Thanks for watching. Show more (epilepsy warning, credits and copyright)... WARNING: THIS VIDEO ...",-m6H7uuJVWQ,True
166,"Hayko Cepkin - Zaman Geçti , Aldırma Gönül , Bertaraf Et , Fırtınam ( 30 Ağustos Zafer Bayramı )",UYARI: Bu video ışığa duyarlı epilepsi geçmişi olan kişiler için sakıncalı görüntüler içermektedir. WARNING: This video has been identified by Epilepsy Action to ...,0QCr3h0WVmw,True
167,Queen - We Will Rock You (Trap Remix) [Bass Boosted] | Serena Kalos Music x Ricardo Contreras,"Now playing: Queen - We Will Rock You (Trap Remix) [Bass Boosted] Thanks for watching. Show more (epilepsy warning, credits and copyright)... WARNING: ...",0L4UJtVG388,True
168,Blonde Redhead - For The Damaged Coda (Feewet Trap Remix) [Bass Boosted],"Now playing: Blonde Redhead - For The Damaged Coda (Feewet Trap Remix) [Bass Boosted] Thanks for watching. Show more (epilepsy warning, credits and ...",dlbgOyCK01s,True
174,Coolio - Gangsta's Paradise (Ricky West Remix) [Bass Boosted],"Halloween Special 1/4 Show more (epilepsy warning, credits and copyright)... WARNING: THIS VIDEO HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO ...",IApoRigHfoo,True
